Data,pm25,pm10,o3,no2,so2,co
2016-10-29,68.0,20.0,27.0,31.0,2.0,5.0
2016-10-30,68.0,20.0,27.0,31.0,2.0,5.0
2016-10-31,68.0,31.0,27.0,31.0,2.0,5.0
2016-11-01,68.0,33.0,27.0,31.0,2.0,5.0
2016-11-02,68.0,22.0,27.0,31.0,2.0,5.0
2016-11-03,68.0,21.0,27.0,31.0,2.0,5.0
2016-11-04,68.0,55.0,27.0,31.0,2.0,5.0
2016-11-05,68.0,43.0,27.0,31.0,2.0,5.0
2016-11-06,68.0,34.0,27.0,31.0,2.0,5.0
2016-11-07,68.0,37.0,27.0,31.0,2.0,5.0
2016-11-08,68.0,49.0,27.0,31.0,2.0,5.0
2016-11-09,68.0,77.0,27.0,31.0,2.0,5.0
2016-11-10,68.0,64.0,27.0,31.0,2.0,5.0
2016-11-11,68.0,31.0,27.0,31.0,2.0,5.0
2016-11-12,68.0,35.0,27.0,31.0,2.0,5.0
2016-11-13,68.0,31.0,27.0,31.0,2.0,5.0
2016-11-14,68.0,44.0,27.0,31.0,2.0,5.0
2016-11-15,68.0,73.0,27.0,31.0,2.0,5.0
2016-11-16,68.0,30.0,27.0,31.0,2.0,5.0
2016-11-17,68.0,45.0,27.0,31.0,2.0,5.0
2016-11-18,68.0,54.0,27.0,31.0,2.0,5.0
2016-11-19,68.0,55.0,27.0,31.0,2.0,5.0
2016-11-20,68.0,39.0,27.0,31.0,2.0,5.0
2016-11-21,68.0,44.0,27.0,31.0,2.0,5.0
2016-11-22,68.0,57.0,27.0,31.0,2.0,5.0
2016-11-23,68.0,72.0,27.0,31.0,2.0,5.0
2016-11-24,68.0,99.0,27.0,31.0,2.0,5.0
2016-11-25,68.0,53.0,27.0,31.0,2.0,5.0
2016-11-26,68.0,58.0,27.0,31.0,2.0,5.0
2016-11-27,68.0,25.0,27.0,31.0,2.0,5.0
2016-11-28,68.0,19.0,27.0,31.0,2.0,5.0
2016-11-29,68.0,27.0,27.0,31.0,2.0,5.0
2016-11-30,68.0,31.0,27.0,31.0,2.0,5.0
2016-12-01,68.0,17.0,27.0,31.0,2.0,5.0
2016-12-02,68.0,17.0,27.0,31.0,2.0,5.0
2016-12-03,68.0,25.0,27.0,31.0,2.0,5.0
2016-12-04,68.0,58.0,27.0,31.0,2.0,5.0
2016-12-05,68.0,88.0,27.0,31.0,2.0,5.0
2016-12-06,68.0,48.0,27.0,31.0,2.0,5.0
2016-12-07,68.0,58.0,27.0,31.0,2.0,5.0
2016-12-08,68.0,38.0,27.0,31.0,2.0,5.0
2016-12-09,68.0,27.0,27.0,31.0,2.0,5.0
2016-12-10,68.0,21.0,27.0,31.0,2.0,5.0
2016-12-11,68.0,17.0,27.0,31.0,2.0,5.0
2016-12-12,68.0,15.0,27.0,31.0,2.0,5.0
2016-12-13,68.0,55.0,27.0,31.0,2.0,5.0
2016-12-14,68.0,47.0,27.0,31.0,2.0,5.0
2016-12-15,68.0,26.0,27.0,31.0,2.0,5.0
2016-12-16,68.0,60.0,27.0,31.0,2.0,5.0
2016-12-17,68.0,82.0,27.0,31.0,2.0,5.0
2016-12-18,68.0,55.0,27.0,31.0,2.0,5.0
2016-12-19,68.0,64.0,27.0,31.0,2.0,5.0
2016-12-20,68.0,65.0,27.0,31.0,2.0,5.0
2016-12-21,68.0,80.0,27.0,31.0,2.0,5.0
2016-12-22,68.0,56.0,27.0,31.0,2.0,5.0
2016-12-23,68.0,47.0,27.0,31.0,2.0,5.0
2016-12-24,68.0,41.0,27.0,31.0,2.0,5.0
2016-12-25,68.0,16.0,27.0,31.0,2.0,5.0
2016-12-26,68.0,13.0,27.0,31.0,2.0,5.0
2016-12-27,68.0,14.0,27.0,31.0,2.0,5.0
2016-12-28,68.0,14.0,27.0,31.0,2.0,5.0
2016-12-29,68.0,30.0,27.0,31.0,2.0,5.0
2016-12-30,68.0,79.0,27.0,31.0,2.0,5.0
2016-12-31,68.0,83.0,27.0,31.0,2.0,5.0
2017-01-01,68.0,83.0,27.0,31.0,2.0,5.0
2017-01-02,68.0,48.0,27.0,31.0,2.0,5.0
2017-01-03,68.0,27.0,27.0,31.0,2.0,5.0
2017-01-04,68.0,10.0,27.0,31.0,2.0,5.0
2017-01-05,68.0,16.0,27.0,31.0,2.0,5.0
2017-01-06,68.0,28.0,27.0,31.0,2.0,5.0
2017-01-07,68.0,91.0,27.0,31.0,2.0,5.0
2017-01-08,68.0,123.0,27.0,31.0,2.0,5.0
2017-01-09,68.0,111.0,27.0,31.0,2.0,5.0
2017-01-10,68.0,95.0,27.0,31.0,2.0,5.0
2017-01-11,68.0,150.0,27.0,31.0,2.0,5.0
2017-01-12,68.0,33.0,27.0,31.0,2.0,5.0
2017-01-13,68.0,30.0,27.0,31.0,2.0,5.0
2017-01-14,68.0,26.0,27.0,31.0,2.0,5.0
2017-01-15,68.0,33.0,27.0,31.0,2.0,5.0
2017-01-16,68.0,56.0,27.0,31.0,2.0,5.0
2017-01-17,68.0,53.0,27.0,31.0,2.0,5.0
2017-01-18,68.0,36.0,27.0,31.0,2.0,5.0
2017-01-19,68.0,62.0,27.0,31.0,2.0,5.0
2017-01-20,68.0,92.0,27.0,31.0,2.0,5.0
2017-01-21,68.0,67.0,27.0,31.0,2.0,5.0
2017-01-22,68.0,49.0,27.0,31.0,2.0,5.0
2017-01-23,68.0,97.0,27.0,31.0,2.0,5.0
2017-01-24,68.0,70.0,27.0,31.0,2.0,5.0
2017-01-25,68.0,104.0,27.0,31.0,2.0,5.0
2017-01-26,68.0,77.0,27.0,31.0,2.0,5.0
2017-01-27,68.0,129.0,27.0,31.0,2.0,5.0
2017-01-28,68.0,133.0,27.0,31.0,2.0,5.0
2017-01-29,68.0,126.0,27.0,31.0,2.0,5.0
2017-01-30,68.0,172.0,27.0,31.0,2.0,5.0
2017-01-31,68.0,126.0,27.0,31.0,2.0,5.0
2017-02-01,68.0,99.0,27.0,31.0,2.0,5.0
2017-02-02,68.0,83.0,27.0,31.0,2.0,5.0
2017-02-03,68.0,91.0,27.0,31.0,2.0,5.0
2017-02-04,68.0,54.0,27.0,31.0,2.0,5.0
2017-02-05,68.0,60.0,27.0,31.0,2.0,5.0
2017-02-06,68.0,57.0,27.0,31.0,2.0,5.0
2017-02-07,68.0,34.0,27.0,31.0,2.0,5.0
2017-02-08,68.0,32.0,27.0,31.0,2.0,5.0
2017-02-09,68.0,46.0,27.0,31.0,2.0,5.0
2017-02-10,68.0,50.0,27.0,31.0,2.0,5.0
2017-02-11,68.0,48.0,27.0,31.0,2.0,5.0
2017-02-12,68.0,41.0,27.0,31.0,2.0,5.0
2017-02-13,68.0,50.0,27.0,31.0,2.0,5.0
2017-02-14,68.0,89.0,27.0,31.0,2.0,5.0
2017-02-15,68.0,127.0,27.0,31.0,2.0,5.0
2017-02-16,68.0,94.0,27.0,31.0,2.0,5.0
2017-02-17,68.0,78.0,27.0,31.0,2.0,5.0
2017-02-18,68.0,58.0,27.0,31.0,2.0,5.0
2017-02-19,68.0,55.0,27.0,31.0,2.0,5.0
2017-02-20,68.0,41.0,27.0,31.0,2.0,5.0
2017-02-21,68.0,11.0,27.0,31.0,2.0,5.0
2017-02-22,68.0,13.0,27.0,31.0,2.0,5.0
2017-02-23,68.0,15.0,27.0,31.0,2.0,5.0
2017-02-24,68.0,11.0,27.0,31.0,2.0,5.0
2017-02-25,68.0,27.0,27.0,31.0,2.0,5.0
2017-02-26,68.0,33.0,27.0,31.0,2.0,5.0
2017-02-27,68.0,40.0,27.0,31.0,2.0,5.0
2017-02-28,68.0,39.0,27.0,31.0,2.0,5.0
2017-03-01,68.0,21.0,27.0,31.0,2.0,5.0
2017-03-02,68.0,30.0,27.0,31.0,2.0,5.0
2017-03-03,68.0,31.0,27.0,31.0,2.0,5.0
2017-03-04,68.0,37.0,27.0,31.0,2.0,5.0
2017-03-05,68.0,17.0,27.0,31.0,2.0,5.0
2017-03-06,68.0,21.0,27.0,31.0,2.0,5.0
2017-03-07,68.0,41.0,27.0,31.0,2.0,5.0
2017-03-08,68.0,36.0,27.0,31.0,2.0,5.0
2017-03-09,68.0,47.0,27.0,31.0,2.0,5.0
2017-03-10,68.0,42.0,27.0,31.0,2.0,5.0
2017-03-11,68.0,26.0,27.0,31.0,2.0,5.0
2017-03-12,68.0,25.0,27.0,31.0,2.0,5.0
2017-03-13,68.0,35.0,27.0,31.0,2.0,5.0
2017-03-14,68.0,74.0,27.0,31.0,2.0,5.0
2017-03-15,68.0,61.0,27.0,31.0,2.0,5.0
2017-03-16,68.0,37.0,27.0,31.0,2.0,5.0
2017-03-17,68.0,41.0,27.0,31.0,2.0,5.0
2017-03-18,68.0,13.0,27.0,31.0,2.0,5.0
